優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,マユコバレエスタジオ,記載なし,バレエ教室,川口市（東川口）,Jimdo無料,mayuko.ballet.studio@gmail.com（サイトに記載・自動抽出で確認）,https://mayukoballet.jimdofree.com/,料金の記載なし・Jimdo無料のサイト（広告表示・自作）,Tulip Ballet Studio様,未,hp,,スクール系（バレエ）・料金の記載なし・Jimdo無料のサイト（広告表示・自作）
S,マリエバレエ,記載なし,バレエ教室,川口市・さいたま市大宮,Jimdo無料,marieballetad@gmail.com（サイトに記載・自動抽出で確認）,https://marieballet.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Tulip Ballet Studio様,未,hp,,スクール系（バレエ）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）
S,オクバレエスクール,記載なし,バレエ教室,上尾市,Jimdo無料,shie0213@hotmail.co.jp（サイトに記載・自動抽出で確認）,https://okuballetschool.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Tulip Ballet Studio様,未,hp,,スクール系（バレエ）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）
S,ネクスト・サッカー・コーチング,記載なし,サッカー教室,さいたま市西区,Jimdo無料,necst.soccer.corching@gmail.com（サイトに記載・自動抽出で確認）,https://necst-soccer-corching.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,K-coaching様,未,hp,,スクール系（コーチング）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）
S,ベスト進学アカデミーさいたま北校,記載なし,学習塾,さいたま市北区,Wix無料,best.shingaku.academy@gmail.com（サイトに記載・自動抽出で確認）,https://best-h-e-academy.wixsite.com/reiwa,料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,ECCジュニア 一里山教室様・K-coaching様,未,hp,,スクール系（塾）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,志学館,記載なし,学習塾・そろばん,さいたま市浦和区,Wix無料,sgk.blue101@gmail.com（サイトに記載・自動抽出で確認）,https://shigakukan-harigaya.wixsite.com/home,料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,ECCジュニア 一里山教室様・K-coaching様,未,hp,,スクール系（塾）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,さいとう音楽教室,記載なし,音楽教室,川口市,Wix無料,taishi.saito0615@gmail.com（サイトに記載・自動抽出で確認）,https://taishisaito0615.wixsite.com/saitomusicschool,料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,M Guitar 音楽教室,記載なし,ギター教室,加須市騎西,Jimdo無料,ito_masaki_110@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://ito-masaki.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）
S,ギターセブン三郷,記載なし,ギター教室,三郷市,Jimdo無料,guitar7.misato@gmail.com（サイトに記載・自動抽出で確認）,https://guitar7.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）
S,つゆむピアノ教室,記載なし,ピアノ教室,蕨市,Wix無料,keiko.tsuyumu.piano@gmail.com（サイトに記載・自動抽出で確認）,https://keikotsuyumu.wixsite.com/website,LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,小さな音楽教室上尾,記載なし,ピアノ教室,上尾市,Wix無料,nahoujump@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://nahourock.wixsite.com/-site,LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,南浦和のピアノ教室,記載なし,ピアノ教室,さいたま市南区,Wix無料,kumiko.mikajiri@nifty.com（サイトに記載・自動抽出で確認）,https://kumikomikajiri.wixsite.com/minami-urawa-piano,料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,英茶クラブ,記載なし,英語×茶道教室,川越市・清瀬市,Wix無料,yamayamasae@gmail.com（サイトに記載・自動抽出で確認）,https://yamayachado.wixsite.com/eicha,料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Yuma English House様,未,hp,,スクール系（英会話）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,HELLO MY KIDS,記載なし,こども英語・そろばん教室,東京都足立区,Jimdo無料,hellomykids2008@gmail.com（サイトに記載・自動抽出で確認）,https://hellomykids.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Yuma English House様,未,hp,,スクール系（英会話）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）
S,ひまわり音楽教室,記載なし,音楽教室（マリンバ・ピアノ）,久喜市・越谷市,Jimdo無料,himawari.music.perc@gmail.com（サイトに記載・自動抽出で確認）,https://himawari-music-school.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし
S,音楽の森,記載なし,ピアノ教室・音楽スタジオ,川越市,Jimdo無料,ongakunomori@gran.tokyo（サイトに記載・自動抽出で確認）,https://ongakuno-mori.jimdofree.com/,料金の記載なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・Jimdo無料
S,阿形有佳チェロ教室,記載なし,チェロ教室（個別レッスン）,越谷市,Jimdo無料,yuka.vc.lesson@gmail.com（サイトに記載・自動抽出で確認）,https://yuka-vc.jimdofree.com/,料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,hp,,スクール系（音楽）・料金の記載なし・LINE導線なし
B,セラピストスクールSORA,記載なし,スクール（セラピスト）,川口市安行吉岡,ペライチ,salon_sora@hotmail.co.jp（サイトに記載・自動抽出で確認）,https://vegdp.hp.peraichi.com/,ペライチのサイト（広告表示・自作）,教室・スクール多数,未,hp,,スクール系（スクール）・ペライチのサイト（広告表示・自作）
B,深谷熊谷茶道花道教室,記載なし,茶道・華道,深谷・熊谷,Wix無料,fukayakumagaya.chadoukadou@gmail.com（サイトに記載・自動抽出で確認）,https://fukayakumagayachad.wixsite.com/website-1000,料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,未,hp,,スクール系（教室）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）
B,京之助カイロ整体院／さいたま整体スクール,記載なし,整体・スクール,さいたま市浦和区,ペライチ,hkyomoto@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://saitamaseitai-school.hp.peraichi.com/,LINE導線なし・ペライチのサイト（広告表示・自作）,教室・スクール多数,未,hp,,スクール系（スクール）・LINE導線なし・ペライチのサイト（広告表示・自作）
