優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,Instagram,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
S,ハマノダンスワールド,記載なし,ダンス教室,名古屋市千種区,Jimdo無料,hamanodw@eagle.ocn.ne.jp（サイトに記載・自動抽出で確認）,https://hamanodw.jimdofree.com/,https://www.instagram.com/hamano_dance_world/,Instagramを運用中（@hamano_dance_world）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,チアダンスチーム Sweetia,記載なし,チアダンス,横浜市,ペライチ,cheer_sweetia@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://peraichi.com/landing_pages/view/cheerdanceteamsweetia/,https://www.instagram.com/cheer_sweetia/,Instagramを運用中（@cheer_sweetia）・料金の記載なし・LINE導線なし・ペライチのサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,ミサドラム教室,記載なし,ドラム教室,神戸市中央区,Jimdo無料,misadrum@gmail.com（サイトに記載・自動抽出で確認）,https://misadrum.jimdofree.com/,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,バレエオブアメリカ,記載なし,バレエ教室,大阪府貝塚市,Wix無料,ballet.of.america@gmail.com（サイトに記載・自動抽出で確認）,https://balletofamerica.wixsite.com/home,https://www.instagram.com/ballet.of.america/,Instagramを運用中（@ballet.of.america）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Tulip Ballet Studio様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,真希バレエアカデミー,記載なし,バレエ教室,所在地は要確認,Jimdo無料,studio.aya152@gmail.com（サイトに記載・自動抽出で確認）,https://m-ballet-academy-152.jimdofree.com/,https://www.instagram.com/maki_balletacademy/,Instagramを運用中（@maki_balletacademy）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Tulip Ballet Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,YOKOピアノ＆リトミック教室,記載なし,ピアノ・リトミック,東京都杉並区,Wix無料,youko2naka@gmail.com（サイトに記載・自動抽出で確認）,https://youko2naka.wixsite.com/yokopiano,https://www.instagram.com/yoko_piano_rythmique/,Instagramを運用中（@yoko_piano_rythmique）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,cuore music 石原音楽教室,記載なし,ピアノ・リトミック,千葉県柏市,Jimdo無料,michisekine1970@gmail.com（サイトに記載・自動抽出で確認）,https://michiko-cuoremusic.jimdofree.com/,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・Jimdo無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・Jimdo無料のサイト（広告表示・自作）
S,Tsukamotoピアノ教室,記載なし,ピアノ教室,札幌市,Wix無料,t-pianoroom@ymobile.ne.jp（サイトに記載・自動抽出で確認）,https://tpianoroom1091.wixsite.com/tsukamoto,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・LINE導線なし・Wix無料のサイト（広告表示・自作）
S,井口久美子ピアノ教室,記載なし,ピアノ教室,大阪市生野区・東大阪市,ペライチ,pianode39@gmail.com（サイトに記載・自動抽出で確認）,https://peraichi.com/landing_pages/view/pianorun,https://www.instagram.com/tico_ku_piano/,Instagramを運用中（@tico_ku_piano）・LINE導線なし・ペライチのサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,未,insta,,Instagramは動いているがホームページが弱い・LINE導線なし・ペライチのサイト（広告表示・自作）
S,豊田体操教室Doii,記載なし,体操・ダンス教室,所在地は要確認,ペライチ,doigymnastics@gmail.com（サイトに記載・自動抽出で確認）,https://toyotashitaisoudancedoii.hp.peraichi.com/,https://www.instagram.com/beats_tumbling/,Instagramを運用中（@beats_tumbling）・料金の記載なし・ペライチのサイト（広告表示・自作）,DANCE STUDIO PLUS様・Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・ペライチのサイト（広告表示・自作）
S,個別指導塾なないろ,記載なし,個別指導塾,岡山県津山市,Jimdo無料,nanairo.juku@gmail.com（サイトに記載・自動抽出で確認）,https://nanairo-juku.jimdofree.com/,https://www.instagram.com/nanairo.juku/,Instagramを運用中（@nanairo.juku）・料金の記載なし・Jimdo無料のサイト（広告表示・自作）,ECCジュニア 一里山教室様・K-coaching様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・Jimdo無料のサイト（広告表示・自作）
S,Kids English Club,記載なし,子ども英語教室,千葉市,Wix無料,kec.chiba@gmail.com（サイトに記載・自動抽出で確認）,https://kecchiba.wixsite.com/kidsenglish,https://www.instagram.com/kec_kids_english_club/,Instagramを運用中（@kec_kids_english_club）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Yuma English House様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,アルク ACORN Kids,記載なし,子ども英語教室,福岡県大野城市,Jimdo無料,kc.acornkids@gmail.com（サイトに記載・自動抽出で確認）,https://acornkids.jimdofree.com/,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,Yuma English House様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,English Jungle,記載なし,英会話教室,大阪市都島・鶴見・生野,Wix無料,englishjungle.tsurumi@gmail.com（サイトに記載・自動抽出で確認）,https://englishjungletsurumi.wixsite.com/englishjungletsurumi,https://www.instagram.com/english_jungle_tsurumi/,Instagramを運用中（@english_jungle_tsurumi）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Yuma English House様,未,insta,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,TOSHIの英語教室,記載なし,英語教室,名古屋市北区,Wix無料,toshinoeigo@gmail.com（サイトに記載・自動抽出で確認）,https://toshinoeigo.wixsite.com/main,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Yuma English House様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
S,32musicstudio,記載なし,音楽スタジオ・レッスン,大阪市（天満）,Wix無料,32musicstudio.oh.yeah@gmail.com（サイトに記載・自動抽出で確認）,https://32musicstudioohyeah.wixsite.com/mysite,https://www.instagram.com/32_musicstudio/,Instagramを運用中（@32_musicstudio）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様・Rythmique Garden様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,DJ SCHOOL SAPPORO,記載なし,DJスクール,札幌市,Wix無料,school@djtama.com（サイトに記載・自動抽出で確認）,https://djtama0.wixsite.com/djschool,https://www.instagram.com/djsapporo/,Instagramを運用中（@djsapporo）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,やがみドラム教室,記載なし,ドラム教室,福岡県糟屋・宗像,Wix無料,tatsuyadrumlesson@gmail.com（サイトに記載・自動抽出で確認）,https://tatsuyadrumlesson.wixsite.com/home,https://www.instagram.com/yagami_drum_lessons/,Instagramを運用中（@yagami_drum_lessons）・Wix無料のサイト（広告表示・自作）,Colours Musical Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・Wix無料のサイト（広告表示・自作）
A,カイバレエアカデミー,記載なし,バレエ教室,東京都渋谷区,Jimdo無料,kai.ballet.academy@gmail.com（サイトに記載・自動抽出で確認）,https://kai-ballet.jimdofree.com/,https://www.instagram.com/kai.ballet.academy/,Instagramを運用中（@kai.ballet.academy）・Jimdo無料のサイト（広告表示・自作）,Tulip Ballet Studio様,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・Jimdo無料のサイト（広告表示・自作）
A,Hama Sora Cooking,記載なし,パン教室,横浜市鶴見区,Wix無料,hamasora_cooking@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://hamasora.wixsite.com/yokohama,https://www.instagram.com/hama.sora/,Instagramを運用中（@hama.sora）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,はりねずみのパン教室 el-erizo,記載なし,パン教室,東京都杉並区,Jimdo無料,tomonya0211@gmail.com（サイトに記載・自動抽出で確認）,https://harinezumipan-el-erizo.jimdofree.com/,https://www.instagram.com/harinezumipan/,Instagramを運用中（@harinezumipan）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,パン教室 えむ,記載なし,パン教室,鳥取市,Jimdo無料,mika-citron-k@docomo.ne.jp（サイトに記載・自動抽出で確認）,https://mippi-koto-m-pan.jimdofree.com/,https://www.instagram.com/m_pan_boulanger/,Instagramを運用中（@m_pan_boulanger）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,RABO∅TEEs ラボティーズ,記載なし,プログラミング教室,群馬県高崎市,Wix無料,rabotees123@gmail.com（サイトに記載・自動抽出で確認）,https://rabotees123.wixsite.com/rabotees,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,安城ロボットプログラミング教室,記載なし,プログラミング教室,愛知県安城市,Wix無料,anjo.robot@gmail.com（サイトに記載・自動抽出で確認）,https://anjorobot.wixsite.com/programming-school,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,ベビーマッサージ＆サイン教室スマイル,記載なし,ベビーマッサージ教室,名古屋市,Jimdo無料,smile-tomo@tg.commufa.jp（サイトに記載・自動抽出で確認）,https://kotomococo.jimdofree.com/,https://www.instagram.com/smilebaby_tomo/,Instagramを運用中（@smilebaby_tomo）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,Nagi Yoga,記載なし,ヨガ教室,大阪府貝塚市・東大阪市,Wix無料,nagisatashiro0506@gmail.com（サイトに記載・自動抽出で確認）,https://nagisatashiro0506.wixsite.com/website,https://www.instagram.com/nagisa_iwakawa/,Instagramを運用中（@nagisa_iwakawa）・料金の記載なし・LINE導線なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,チームはじめ,記載なし,体操教室,東京都新宿区,Jimdo無料,teamhajime@yahoo.co.jp（サイトに記載・自動抽出で確認）,https://teamhajime.jimdofree.com/,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
A,Eisui 書道教室,記載なし,書道教室,広島県福山市,Jimdo無料,eisui775@gmail.com（サイトに記載・自動抽出で確認）,https://eisui7755.jimdofree.com/,https://www.instagram.com/eisui775/,Instagramを運用中（@eisui775）・料金の記載なし・LINE導線なし・Jimdo無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・LINE導線なし
B,ゆうゆうパソコン教室,記載なし,プログラミング教室,岐阜県瑞浪市,Wix無料,yuyu-pc@aroma.ocn.ne.jp（サイトに記載・自動抽出で確認）,https://yuyu-pc.wixsite.com/programming,サイト内に言及あり（アカウント名は未取得）,Instagramを運用中・LINE導線なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・LINE導線なし・Wix無料のサイト（広告表示・自作）
B,スマートキッズラボ ロボット教室,記載なし,ロボット教室,仙台市,Wix無料,smartkidslabo@gmail.com（サイトに記載・自動抽出で確認）,https://smartkidslabo.wixsite.com/sendai,https://www.instagram.com/smartkidslabo/,Instagramを運用中（@smartkidslabo）・料金の記載なし・Wix無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・Wix無料のサイト（広告表示・自作）
B,わこうの習字教室,記載なし,書道教室,東京都八王子市,Jimdo無料,wakou2023@gmail.com（サイトに記載・自動抽出で確認）,https://maroyamate.jimdofree.com/,https://www.instagram.com/kazuyosanikd/,Instagramを運用中（@kazuyosanikd）・料金の記載なし・Jimdo無料のサイト（広告表示・自作）,教室・スクール多数,保留（次回分）,hp,,Instagramは動いているがホームページが弱い・料金の記載なし・Jimdo無料のサイト（広告表示・自作）
