優先度,事業者名,代表者名,士業の種類,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,指摘の種,接触状況,提案,選定理由
S,新井行政法務事務所,新井浩二,行政書士,深谷市,独自,info@araioffice.com / 048-587-1505,https://www.araioffice.com/,Copyright表記が©2006のままで、お知らせ・更新日の記載が一切無い。,Copyrightが2006年表記のまま。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
A,ワンストップサービス・増田事務所,増田雅久,税理士・社会保険労務士・行政書士,行田市,独自,フォーム / 048-556-1485,https://www.sr-ma.com/,トップページ約5KBの簡素な構成で更新日や実績が無い。平成6年開業で3士業を代表1人が担う個人事務所。,3士業対応・開業30年の強みがトップページに出ていない。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
A,山崎克則司法書士事務所,山崎克則,司法書士,秩父市,独自（Strikingly）,qqbn7wt9k@titan.ocn.ne.jp / フォーム / 0494-26-5747,https://www.yamasaki-shoshi.com/,海外製ビルダー（Strikingly）製でviewport未設定、写真素材はUnsplash、メールはOCN付与のランダム文字列。,メールアドレスがプロバイダ付与のランダム文字列。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
A,いがらし司法書士事務所,五十嵐正敏,司法書士,秩父市,独自（あきばれホームページ）,電話 0494-26-5562（お問合せページあり・メール不明）,http://www.wakaba-houmu.jp/,テンプレート型HP作成サービス製で、viewport未設定・httpsなし。,常時SSL未対応（httpのまま）。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
B,司法書士行政書士すえひろ事務所,不明,司法書士・行政書士,熊谷市,Jimdo,isobe@sg-suehiro.com / 048-599-3131,https://www.sg-suehiro.com/,Jimdoテンプレートで問い合わせフォームが無く電話中心。代表者名がサイト上に無い。,問い合わせフォームが無い。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,山口三知夫行政書士事務所,山口三知夫,行政書士,川越市,Jimdo,フォーム / 049-277-8461,https://sachio-office.jimdofree.com/,Jimdo無料版（jimdofree.com）で独自ドメインが無く、更新日付も無い。,無料版Jimdoのサブドメインのまま。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,野崎克司行政書士事務所,野崎克司,行政書士,川越市,独自（ホームページV3）,nzk@nozaki-gyousei.com / フォーム / 049-299-6061,https://nozaki-gyousei.com/,トップに「2013/05/18 更新」と表示されたままで、viewport未設定。,「2013年更新」表記が残っている。,送信済み 2026-09-15,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,社会保険労務士中村亨事務所,中村亨,社会保険労務士,所沢市,独自（ホームページ・ビルダー11）,フォーム / 04-2995-6662,http://www.nakamura-j.jp/,2005年版ビルダー製でcopyright(C)2005、https非対応（TLS未対応）。1993年開業の個人事務所。,常時SSL未対応で、Copyrightが2005年のまま。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,中田真人司法書士事務所,中田真人,司法書士,さいたま市中央区,WordPress,フォーム / 048-858-8656,http://www.nakata-shihoshoshi.com/,WordPress 5.6でviewport未設定、httpsのSSL証明書が期限切れ。,SSL証明書が期限切れ。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
S,行政書士三石事務所,三石哲也,行政書士,伊勢崎市（群馬）,Jimdo,フォーム / メール（サイト内記載） / 050-3555-0112,https://www.mitsuishi-office.net/,Jimdoで©2017のまま、お知らせ・ブログの更新日付が無い。,Copyright 2017のまま。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
A,社会保険労務士つちや事務所,土屋貴治,社会保険労務士,高崎市（群馬）,独自,フォーム / 0274-50-7008,https://www.tsuchiya-sr.jp/,viewport未設定でスマホでは縮小表示。お知らせは2026年3月で更新自体は続いている。,スマホ非対応（viewport未設定）。,未,shigyo,士業向け（事務所サイトの無料デザイン案＋顧問先パートナー提案・会社資料添付）
