優先度,会社名,種別,所在地,連絡方法,連絡先・応募URL,サイト,募集内容・特徴,狙い方,接触状況
A,株式会社クリップ,Web戦略・制作,東京都品川区,フォーム,https://www.qlip.co.jp/partner/,https://www.qlip.co.jp/,制作パートナーを随時募集。品質重視,実績の見せ方が重要。デザインの強い案件を3つ選んで出す,未
A,シシハクト株式会社,戦略立案・制作（大阪・東京）,大阪・東京,フォーム,https://shishihakuto.co.jp/contact/partner/,https://shishihakuto.co.jp/,法人/個人問わず。Webデザイン・制作・コーディングの協業パートナー,戦略が本業で制作を外注する形,未
A,株式会社LUK,Web制作,大阪市北区,フォーム,https://www.luk.jp/partner/,https://www.luk.jp/,個人・法人のビジネスパートナーを募集,,未
A,DPD（Duo Partner Design）,Web制作・マーケティング,東京都小金井市,フォーム,https://dpd.co.jp/partner/,https://dpd.co.jp/,Web制作やマーケティング業務に協力できる個人・会社,小規模。ディレクター型の会社なので制作側として組みやすい,未
A,株式会社フィールビー,ブランディングに強いHP制作,要確認,フォーム,https://feelbee.jp/partners,https://feelbee.jp/,個人・法人問わず。デザイナー・コーダー,,未
A,WEBパートナー,Web制作の外部委託サービス,東京都新宿区,フォーム,https://web-partner.jp/partner/,https://web-partner.jp/,SOHO・個人事業主・企業・フリーランス。常駐も可,常駐色がやや強い。リモート可否を先に確認,未
A,FFC（リスティング広告運用代行専門）,広告運用代行,神戸市中央区,フォーム,https://ffc.tokyo/partner/,https://ffc.tokyo/,制作会社・デザイン事務所と組み、広告運用の下請けを受ける協業を募集,逆方向の協業。こちらはLP・HPを受け、広告は相手に回す相互紹介,未
A,株式会社SNSマーケティング,Instagram運用代行（2022年設立・学生起業）,岐阜県岐阜市,メール,contact@snsmarke.jp,https://snsmarke.jp/,サービスに制作メニューがない。運用先からHP・LPの相談が来ても受け皿がない可能性,「運用先からホームページの相談が来たときの受け皿になります」と提案,下書き作成 2026-09-19（未送信）
A,株式会社キングプロテア,SNS運用代行・ショート動画制作（全国対応）,東京都新宿区,メール,info@kingprotea.jp,https://kingprotea.jp/,SNSと動画が本業で、制作メニューの記載なし,SNSの着地先になるLP・HPを受ける提案,下書き作成 2026-09-19（未送信）
A,株式会社VOYAGE,TikTok・SNS運用代行,東京都新宿区,フォーム,https://un-voyage.net/,https://un-voyage.net/,SNS運用が本業。制作メニューなし,同上,未
A,Kurofune（クロフネ）,SNSマーケティング・運用代行（飲食店に強い）,東京都渋谷区,フォーム,https://kurofune-marketing.com/,https://kurofune-marketing.com/,SNSと広告が本業,飲食店のLP・予約ページを受ける提案,未
A,株式会社ヘリオス,広告運用・Googleビジネスプロフィール運用代行,東京都渋谷区,フォーム,https://gbp.he-lios.co.jp/,https://gbp.he-lios.co.jp/,広告とMEOが本業。制作メニューなし,マップから来た人の受け皿になるHPを受ける提案,未
A,株式会社オンジン,リスティング広告・LP,愛知県一宮市,フォーム,https://onjin.co.jp/,https://onjin.co.jp/,中小企業向けの広告運用。LPは扱うがHP制作は記載なし,LPのデザイン・実装の手が足りないときの外注先として,未
A,株式会社デジタルトレンズ,広告運用,要確認,フォーム,https://dgtrends.com/,https://dgtrends.com/,広告運用が本業,,未
B,株式会社アンドストーリー,ブランディング,福岡市中央区,メール,info@andstory.co.jp,https://www.andstory.co.jp/,再確認の結果、HP・LPの制作を自社で行っている。パートナー募集もなし,ブランド設計のあとのサイト実装を受ける提案,見送り推奨（下書きは送らない）
B,リバレスト,Web制作・MEO・SNS・広告,大阪,メール,info@livalest.com,https://livalest.com/,制作も自社で持つ。パートナーの案内ページあり,募集の中身が制作側か販売側かを確認してから,見送り（大阪の制作会社で競合。パートナー募集ではなかった）
B,TONOSAMA,Web制作・MEO・SNS・広告,福井県福井市,フォーム,https://tono-sama.net/,https://tono-sama.net/,2018年設立。パートナーの案内ページあり,同上,未
B,ad-bind,Web広告運用代行（少額OK）＋制作,山梨県甲府市,メール,info@ad-bind.com,https://www.ad-bind.com/,少額の広告運用が本業だが、HP・LPの制作も自社で扱う。外注の余地は小さめ,同上,下書き作成 2026-09-19（未送信）
B,TMS Partners株式会社,Webコンサルティング,京都市下京区,フォーム,https://tms-partners.com/,https://tms-partners.com/,2019年設立。コンサルが本業で制作も扱う,同上,未
B,株式会社Lumii,動画制作・SNS,東京都渋谷区,フォーム,https://lumii.co.jp/,https://lumii.co.jp/,動画が本業。パートナーの案内ページあり,同上,未
B,CACTAS株式会社,SNS・広告・Web,東京都千代田区,フォーム,https://cactas.co.jp/,https://cactas.co.jp/,2018年設立。公開メールは製品サポート窓口のため、問い合わせフォームから連絡する,,未
B,まちおこし（machi-okoshi）,地域向けWeb・SNS・MEO,要確認,メール,info@machi-okoshi.co.jp,https://machi-okoshi.co.jp/,地域の店舗向け,,未
