優先度,事業者名,代表者,業種,エリア,サイト基盤,連絡手段,URL,受注率が高そうな理由,出せる同業実績,接触状況,提案,指摘,選定理由
A,フルート教室おかむら,岡村,フルート教室,熊谷市,Wix無料,manaflute_kazuko@yahoo.co.jp,https://kazukohappypinetre.wixsite.com/website,料金記載なし・体験申込はメールのみ・©2019のまま,Colours Musical Studio様,round6へ移動 2026-09-16,hp,,
A,川田千晶ピアノ教室,川田,ピアノ教室,熊谷市,Wix無料,pianochiaki@yahoo.co.jp,https://pianochiaki.wixsite.com/chiakikawata,料金・住所なし・フッターがテンプレート文言のまま,Colours Musical Studio様,round6へ移動 2026-09-16,hp,,
S,さかまきひとみピアノ教室,坂巻,ピアノ教室,熊谷市,Crayon無料,hitomipiano43@gmail.com,https://pianoroom712.crayonsite.net/,無料作成サービス製・月謝記載なし・LINE公式あり,Colours Musical Studio様,round6へ移動 2026-09-16,both,,
A,ＫＣＳダンスサークル,記載なし,ダンス,鴻巣市,Wix無料,kcscircle@gmail.com,https://kcsdancecircle.wixsite.com/mysite1,体験案内なし・電話/LINEなし,DANCE STUDIO PLUS様,round6へ移動 2026-09-16,hp,,
S,アルク Kiddy CAT 英語教室 連取町校,神澤,子ども英語・書道,伊勢崎市連取町,Wix無料,tsunatorikids@gmail.com,https://tsunatorikids.wixsite.com/hptsunatorikids,料金は別ページ・書道に体験案内なし・LINEなし,Yuma English House様,round6へ移動 2026-09-16,hp,,
S,ミュージックスクールM♪,記載なし,ピアノ・フルート,伊勢崎市,Jimdo無料,m.pianofluve@gmail.com,https://m-pianoflute.jimdofree.com/,開校40年・体験案内がページ下部・LINEなし,Colours Musical Studio様,round6へ移動 2026-09-16,hp,,
A,伊勢崎豊受合気会,記載なし,合気道,伊勢崎市,Jimdo無料,yamachyou728@yahoo.co.jp,https://toyoukeaikikai.jimdofree.com/,料金なし・休止中表記が残る・2024年10月更新,教室100社以上,round6へ移動 2026-09-16,hp,,
A,My art works イラスト・漫画コーチング教室,記載なし,イラスト・漫画教室,前橋市南町,Wix無料,myartworks220103@gmail.com,https://myartworks220103.wixsite.com/myartworks,予約状況が令和5年8月のまま・フォームなし,教室100社以上,round6へ移動 2026-09-16,hp,,
A,米山ピアノ教室,米山,ピアノ教室,高崎市双葉町,Jimdo無料,4405yyone@gmail.com,https://yoneyama-piano.jimdofree.com/,最新お知らせ2020年6月・料金なし,Colours Musical Studio様,round6へ移動 2026-09-16,hp,,
S,MAKIピアノ教室,記載なし,ピアノ教室,藤岡市上戸塚,Wix無料,maki.piano.0529@gmail.com,https://makipiano0529.wixsite.com/maki-piano-lesson/home,料金なし・お知らせに日付なし・LINEなし,Colours Musical Studio様,round6へ移動 2026-09-16,hp,,
B,ペンギン音楽教室（本庄）,記載なし,ピアノ・クラリネット,本庄市,Wix無料,penpen.music.sc@gmail.com,https://penpenmusicsc.wixsite.com/pen321,2026年7月30日付で新規募集休止中,,見送り（募集休止中）,,,
A,個別指導学習塾 まなび舎早稲田,記載なし,学習塾・絵画造形・書道,本庄市（上里教室あり）,Jimdo無料,manabiya_waseda@yahoo.co.jp,https://manabiyawaseda.jimdofree.com/,2026年8月時点「現在満席」,,見送り（満席）,,,
